code;libelle français;libelle anglais
A1;"Services publics";"Public services"
A2;"Services généraux";"General services"
A3;"Services automobiles";"Automotive Services"
A4;"Artisanat du bâtiment";"Building crafts"
A5;"Autres services";"Other services"
B2;"Commerces alimentaires";"Food stores"
B1;"Grandes surfaces";"Malls"
B3;"Commerces spécialisés non-alimentaires";"Specialized non-food stores"
C2;"Enseignement du second degré - premier cycle";"Secondary education - first cycle"
C3;"Enseignement du second degré - second cycle";"Secondary education - second cycle"
C4;"Enseignement supérieur non-universitaire";"Non-university higher education"
C5;"Enseignement supérieur universitaire";"University higher education"
C1;"Enseignement du premier degré";"Primary education"
C6;"Formation continue";"Continuing education"
D1;"Etablissements et services de santé";"Health establishments and services"
C7;"Autres services de l'éducation";"Other education services"
D2;"Fonctions médicales et paramédicales (à titre libéral)";"Medical and paramedical functions (liberal)"
D3;"Autres établissements et services à caractère sanitaire";"Other establishments and services of a health nature"
D4;"Action sociale pour personnes âgées";"Social action for the elderly"
D5;"Action sociale pour enfants en bas-âge";"Social action for young children"
D6;"Action sociale pour handicapés";"Social action for the disabled"
D7;"Autres services d'action sociale";"Other social action services"
E1;"Infrastructures de transports";"Transport infrastructure"
F1;"Equipements sportifs";"Sports equipments"
F2;"Equipements de loisirs";"Leisure equipment"
F3;"Equipements culturels et socioculturels";"Cultural and socio-cultural facilities"
G1;"Tourisme";"Tourism"
_T;"Total";"Total"
