code;libelle français;libelle anglais
A101;"Police";"Police"
A121;"Direction départementale des finances publiques";"Ddfip (departmental directorate of public finances)"
A104;"Gendarmerie";"Gendarmerie"
A122;"Réseau de proximité france travail";"Local employment center network"
A129;"Mairie";"City hall"
A130;"Bureau d’aide juridictionnelle";"Legal aid office (BAJ)"
A124;"Maison de justice et du droit";"House of Justice and Law"
A105;"Cour d’appel";"Court of Appeal (CA)"
A135;"Cour d'assises";"Court of Assizes"
A108;"Conseil de prud’hommes";"Industrial tribunal (CPH)"
A125;"Antenne de justice";"Antenna of Justice"
A126;"Conseil départemental d’accès au droit";"Departmental Council for Access to Law (CDAD)"
A131;"Tribunal judiciaire";"Judicial court (JT)"
A203;"Banque, caisse d’épargne";"Bank, savings bank"
A136;"Juridiction administrative";"Administrative Court"
A109;"Tribunal de commerce";"Commercial Court (TCO)"
A205;"Services funéraires";"Funeral services"
A137;"Tribunal correctionnel";"Criminal Court"
A128;"France services";"France Services locations (IFS)"
A301;"Réparation automobile et de matériel agricole";"Automotive and agricultural equipment repair"
A132;"Tribunal de proximité";"Local court (TPRX)"
A302;"Contrôle technique automobile";"Automotive technical inspection"
A206;"Bureau de poste";"Post Office"
A402;"Plâtrier peintre";"Plasterer painter"
A133;"Déchèterie";"Recycling center"
A120;"Direction régionale des finances publiques";"Drfip (regional public finance department)"
A138;"Tribunal de police";"Police Court"
A403;"Menuisier charpentier serrurier";"Carpenter carpenter locksmith"
A501;"Coiffure";"Hairdressing"
A303;"Location auto-utilitaires légers";"Light utility vehicle rental"
A134;"Cour criminelle departementale";"Departmental Criminal Court"
A139;"Tribunal pour enfants";"Juvenile Court"
A207;"Relais poste";"Post relay"
A502;"Vétérinaire";"Veterinarian"
A404;"Plombier couvreur chauffagiste";"Plumber roofer heating engineer"
A506;"Pressing-laverie automatique";"Laundromat"
A304;"École de conduite";"Driving school"
A507;"Institut de beauté-onglerie";"Beauty and nail salon"
A208;"Agence postale";"Postal agency"
