code;libelle français;libelle anglais
A01G;"DRFIP ET DDFIP";"DRFiP/DDFiP"
A124;"Maison de justice et du droit";"House of Justice and Law"
A125;"Antenne de justice";"Antenna of Justice"
A126;"Conseil départemental d’accès au droit";"Departmental Council for Access to Law (CDAD)"
A206;"Bureau de poste";"Post Office"
A02G;"POLICE, GENDARMERIE";"POLICE, GENDARMERIE"
A207;"Relais poste";"Post relay"
A303;"Location auto-utilitaires légers";"Light utility vehicle rental"
A129;"Mairie";"City hall"
A304;"École de conduite";"Driving school"
A404;"Plombier couvreur chauffagiste";"Plumber roofer heating engineer"
A105;"Cour d’appel";"Court of Appeal (CA)"
A208;"Agence postale";"Postal agency"
A405;"Électricien";"Electrician"
A108;"Conseil de prud’hommes";"Industrial tribunal (CPH)"
A503;"Agence de travail temporaire";"Temporary employment agency"
A203;"Banque, caisse d’épargne";"Bank, savings bank"
A401;"Maçon";"Mason"
A504;"Restaurant- restauration rapide";"Fast food restaurant"
B103;"Grande surface de bricolage";"Large DIY area"
A301;"Réparation automobile et de matériel agricole";"Automotive and agricultural equipment repair"
A406;"Entreprise générale du bâtiment";"General building company"
B104;"Hypermarché et grand magasin";"Hypermarket and department store"
A109;"Tribunal de commerce";"Commercial Court (TCO)"
B204;"Boucherie charcuterie";"Butchery and delicatessen"
A205;"Services funéraires";"Funeral services"
A505;"Agence immobilière";"Real estate agency"
B209;"Commerce de boissons";"Beverage trade"
A402;"Plâtrier peintre";"Plasterer painter"
B205;"Produits surgelés";"Frozen products"
A501;"Coiffure";"Hairdressing"
A302;"Contrôle technique automobile";"Automotive technical inspection"
B105;"Supermarché et magasin multi-commerce";"Supermarket and multi-commerce store"
B306;"Magasin de meubles";"Furniture store"
B210;"Autres commerces alimentaires";"Other food businesses"
A506;"Pressing-laverie automatique";"Laundromat"
B307;"Magasin d’articles de sports et de loisirs";"Sports and leisure goods store"
B311;"Horlogerie-bijouterie";"Watchmaking and jewelry"
A502;"Vétérinaire";"Veterinarian"
A403;"Menuisier charpentier serrurier";"Carpenter carpenter locksmith"
B317;"Commerce de tissus et mercerie";"Trade of fabrics and haberdashery"
B312;"Fleuriste-jardinerie-animalerie";"Florist-gardener-pet store"
A507;"Institut de beauté-onglerie";"Beauty and nail salon"
B206;"Poissonnerie";"Fish shop"
B201;"Supérette";"Convenience store"
B302;"Magasin de vêtements";"Clothing store"
B308;"Magasin de revêtements murs et sols";"Wall and floor coverings store"
B322;"Magasin de matériels de télécommunication";"Telecommunications equipment store"
B318;"Commerce de jeux et jouets";"Games and toys trade"
B309;"Droguerie quincaillerie bricolage";"DIY hardware store"
B313;"Magasin d’optique";"Optical store"
B323;"Commerce de biens d’occasion";"Trade in second-hand goods"
D101;"Établissement de soins de courte durée";"Short stay health establishment"
D106;"Urgences";"Emergencies"
D107;"Maternité";"Maternity"
B319;"Maroquinerie et articles de voyage";"Leather goods and travel items"
B202;"Épicerie";"Grocery store"
B303;"Magasin d’équipements du foyer";"Home equipment store"
D112;"Hospitalisation à domicile";"Hospitalization at home"
D102;"Établissement de soins de suite et de réadaptation";"Medium stay health establishment"
B324;"Librairie";"Library"
B207;"Boulangerie-pâtisserie";"Bakery pastry"
B310;"Parfumerie-cosmétique";"Perfumery-cosmetics"
D254;"Spécialiste en chirurgie orthopédique, plastique et traumatologique";"Specialist in Orthopedic, Plastic, and Traumatologic Surgery"
D108;"Centre de santé";"Health center"
D113;"Maison de santé pluridisciplinaire";"Multidisciplinary health center"
B320;"Commerce de combustibles domestiques";"Trade in domestic fuels"
D262;"Urologue, néphrologue";"Urologist, Nephrologist"
D255;"Endocrinologue";"Endocrinologist"
B325;"Papeterie et presse";"Stationery and press"
D269;"Spécialiste en psychiatrie";"Psychiatry Specialist"
B304;"Magasin de chaussures";"Shoe shop"
D103;"Établissement de soins de longue durée";"Long-stay health establishment"
D265;"Médecin généraliste";"General Practitioner"
D109;"Structure psychiatrique en ambulatoire";"Outpatient psychiatric structure"
B208;"Commerce spécialisé en fruits et légumes";"Trade specializing in fruit and vegetables"
D251;"Allergologue";"Allergist"
D274;"Spécialiste en radiodiagnostic et imagerie médicale";"Specialist in Radiodiagnosis and Medical Imaging"
D256;"Gériatre";"Geriatrician"
D270;"Spécialiste en ophtalmologie";"Ophthalmology Specialist"
D252;"Anesthésiste-réanimateur";"Anesthesiologist-Intensivist"
D279;"Masseur kinésithérapeute";"Physiotherapist "
D104;"Établissement psychiatrique";"Psychiatric facility"
D275;"Spécialiste en stomatologie";"Stomatology Specialist"
