code;libelle français;libelle anglais
F101;"Bassin de natation";"Swimming pool"
F102;"Boulodrome";"Boulodrome"
F103;"Tennis";"Tennis"
F105;"Domaine skiable";"Ski area"
F106;"Centre équestre";"Riding stable"
F107;"Athlétisme";"Athletics"
F108;"Terrain de golf";"Golf field"
F109;"Parcours sportif/santé";"Sports/health course"
F110;"Sports de glace";"Ice sports"
F111;"Plateaux et terrains de jeux extérieurs";"Outdoor platforms and playgrounds"
F113;"Terrains de grands jeux";"Playgrounds"
F114;"Salles de combat";"Battle Rooms"
F116;"Salles non spécialisées";"Non-specialized rooms"
F118;"Sports nautiques";"Nautical sports"
F119;"Bowling";"Bowling"
F120;"Salles de remise en forme";"Fitness rooms"
F121;"Salles multisports, gymnases";"Multisports halls (gymnasiums)"
F122;"Circuit / piste de sports mécaniques";"Motor sports circuit/track"
F123;"Mur et fronton";"Wall and pediment"
F124;"Pas de tir";"shooting area"
F125;"Site d'activités aériennes";"Aerial activities site"
F126;"Site de modélisme";"Modeling site"
F127;"Structure artificielle d’escalade";"Artificial Climbing Structure"
F128;"Équipements de cyclisme";"Cycling Equipment"
F129;"Salles spécialisées";"Specialized Rooms"
F130;"Skatepark & vélo-freestyle";"Skatepark & BMX/Freestyle Bike Park"
F201;"Baignade aménagée";"Swimming facilities"
F202;"Port de plaisance – mouillage";"Marina – anchorage"
F203;"Boucle de randonnée et parcours de course d’orientation";"Hiking loop and orienteering course"
F204;"Équipements de sports de nature";"Nature sports equipment"
F312;"Exposition et médiation culturelle";"Exhibition and cultural mediation"
F303;"Cinéma";"Movie theater"
F313;"Espace remarquable et patrimoine";"Remarkable space and heritage"
F314;"Archives";"Archives"
F305;"Conservatoire";"Conservatory"
F315;"Arts du spectacle";"Performing Arts"
F307;"Bibliothèque";"Library"
