code;libelle français;libelle anglais
AAV2020-018;"Toulon";"undefined"
AAV2020-019;"Tours";"undefined"
AAV2020-020;"Nancy";"undefined"
AAV2020-022;"Clermont-Ferrand";"undefined"
AAV2020-023;"Saint-Étienne";"undefined"
AAV2020-024;"Caen";"undefined"
AAV2020-025;"Orléans";"undefined"
AAV2020-026;"Angers";"undefined"
AAV2020-028;"Dijon";"undefined"
AAV2020-029;"Mulhouse";"undefined"
AAV2020-030;"Perpignan";"undefined"
AAV2020-031;"Cannes - Antibes";"undefined"
AAV2020-032;"Brest";"undefined"
AAV2020-033;"Metz";"undefined"
AAV2020-001;"Paris";"undefined"
AAV2020-034;"Le Mans";"undefined"
AAV2020-002;"Lyon";"undefined"
AAV2020-003;"Marseille - Aix-en-Provence";"undefined"
AAV2020-004;"Lille (partie française)";"undefined"
AAV2020-005;"Toulouse";"undefined"
AAV2020-006;"Bordeaux";"undefined"
AAV2020-008;"Nantes";"undefined"
AAV2020-010;"Strasbourg (partie française)";"undefined"
AAV2020-012;"Montpellier";"undefined"
AAV2020-013;"Rennes";"undefined"
AAV2020-014;"Grenoble";"undefined"
AAV2020-015;"Rouen";"undefined"
AAV2020-017;"Nice";"undefined"
AAV2020-119;"Gap";"undefined"
AAV2020-341;"Bollène";"undefined"
AAV2020-120;"Saintes";"undefined"
AAV2020-342;"Crest";"undefined"
AAV2020-121;"Sarreguemines (partie française)";"undefined"
AAV2020-122;"Moulins";"undefined"
AAV2020-343;"Sisteron";"undefined"
AAV2020-123;"Aurillac";"undefined"
AAV2020-344;"Bourg-Saint-Maurice";"undefined"
AAV2020-124;"Saint-Lô";"undefined"
AAV2020-345;"Pézenas";"undefined"
AAV2020-125;"Béthune";"undefined"
AAV2020-346;"Verneuil d'Avre et d'Iton";"undefined"
AAV2020-126;"Draguignan";"undefined"
AAV2020-347;"Loudun";"undefined"
AAV2020-076;"Beauvais";"undefined"
AAV2020-127;"Haguenau";"undefined"
AAV2020-369;"Surgères";"undefined"
AAV2020-348;"Le Blanc";"undefined"
AAV2020-077;"Maubeuge (partie française)";"undefined"
AAV2020-048;"Dunkerque";"undefined"
AAV2020-128;"Soissons";"undefined"
AAV2020-049;"Valence";"undefined"
AAV2020-258;"Segré-en-Anjou Bleu";"undefined"
AAV2020-349;"Sainte-Maxime";"undefined"
AAV2020-370;"Decize";"undefined"
AAV2020-129;"Bergerac";"undefined"
AAV2020-078;"Compiègne";"undefined"
AAV2020-259;"Luxeuil-les-Bains";"undefined"
AAV2020-350;"Gérardmer";"undefined"
AAV2020-050;"Chambéry";"undefined"
AAV2020-130;"Montargis";"undefined"
AAV2020-371;"Bormes-les-Mimosas";"undefined"
AAV2020-079;"Roanne";"undefined"
AAV2020-351;"La Ferté Macé";"undefined"
AAV2020-260;"Langres";"undefined"
AAV2020-051;"La Rochelle";"undefined"
AAV2020-131;"Royan";"undefined"
AAV2020-372;"Commercy";"undefined"
AAV2020-352;"Honfleur";"undefined"
AAV2020-080;"Bourg-en-Bresse";"undefined"
AAV2020-261;"Hendaye (partie française)";"undefined"
AAV2020-132;"Lons-le-Saunier";"undefined"
AAV2020-052;"Quimper";"undefined"
AAV2020-373;"Barbezieux-Saint-Hilaire";"undefined"
AAV2020-353;"Crozon";"undefined"
AAV2020-081;"Montauban";"undefined"
AAV2020-262;"L'Aigle";"undefined"
AAV2020-053;"Lorient";"undefined"
AAV2020-374;"Tarare";"undefined"
AAV2020-354;"Jonzac";"undefined"
AAV2020-375;"Saint-Vallier";"undefined"
AAV2020-082;"Albi";"undefined"
AAV2020-054;"Troyes";"undefined"
AAV2020-133;"Saumur";"undefined"
AAV2020-376;"Pont-Saint-Esprit";"undefined"
AAV2020-263;"Aire-sur-la-Lys";"undefined"
AAV2020-090;"Charleville-Mézières";"undefined"
AAV2020-355;"Lesparre-Médoc";"undefined"
AAV2020-083;"Évreux";"undefined"
AAV2020-055;"Saint-Nazaire";"undefined"
AAV2020-202;"Montaigu-Vendée";"undefined"
AAV2020-377;"Montpon-Ménestérol";"undefined"
AAV2020-264;"Romilly-sur-Seine";"undefined"
AAV2020-134;"Dole";"undefined"
AAV2020-313;"Morteau";"undefined"
AAV2020-056;"Saint-Brieuc";"undefined"
AAV2020-091;"Carcassonne";"undefined"
AAV2020-203;"Romorantin-Lanthenay";"undefined"
AAV2020-314;"Bédarieux";"undefined"
AAV2020-084;"Mâcon";"undefined"
AAV2020-135;"Salon-de-Provence";"undefined"
AAV2020-265;"Bayeux";"undefined"
AAV2020-378;"Hesdin-la-Forêt";"undefined"
AAV2020-057;"Vannes";"undefined"
AAV2020-315;"Saint-Jean-d'Angély";"undefined"
AAV2020-092;"Fréjus";"undefined"
AAV2020-136;"Laon";"undefined"
