code;libelle français;libelle anglais
COM-01001;"L'Abergement-Clémenciat";"undefined"
COM-01002;"L'Abergement-de-Varey";"undefined"
COM-01004;"Ambérieu-en-Bugey";"undefined"
COM-01005;"Ambérieux-en-Dombes";"undefined"
COM-01006;"Ambléon";"undefined"
COM-01007;"Ambronay";"undefined"
COM-01008;"Ambutrix";"undefined"
COM-01009;"Andert-et-Condon";"undefined"
COM-01010;"Anglefort";"undefined"
COM-01011;"Apremont";"undefined"
COM-01012;"Aranc";"undefined"
COM-01013;"Arandas";"undefined"
COM-01014;"Arbent";"undefined"
COM-01015;"Arboys en Bugey";"undefined"
COM-01016;"Arbigny";"undefined"
COM-01017;"Argis";"undefined"
COM-01019;"Armix";"undefined"
COM-01021;"Ars-sur-Formans";"undefined"
COM-01022;"Artemare";"undefined"
COM-01023;"Asnières-sur-Saône";"undefined"
COM-01024;"Attignat";"undefined"
COM-01025;"Bâgé-Dommartin";"undefined"
COM-01026;"Bâgé-le-Châtel";"undefined"
COM-01027;"Balan";"undefined"
COM-01028;"Baneins";"undefined"
COM-01029;"Beaupont";"undefined"
COM-01030;"Beauregard";"undefined"
COM-01031;"Bellignat";"undefined"
COM-01032;"Béligneux";"undefined"
COM-01033;"Valserhône";"undefined"
COM-01034;"Belley";"undefined"
COM-01035;"Belleydoux";"undefined"
COM-01036;"Valromey-sur-Séran";"undefined"
COM-01037;"Bénonces";"undefined"
COM-01038;"Bény";"undefined"
COM-01040;"Béréziat";"undefined"
COM-01041;"Bettant";"undefined"
COM-01042;"Bey";"undefined"
COM-01043;"Beynost";"undefined"
COM-01044;"Billiat";"undefined"
COM-01045;"Birieux";"undefined"
COM-01046;"Biziat";"undefined"
COM-01047;"Blyes";"undefined"
COM-01049;"La Boisse";"undefined"
COM-01050;"Boissey";"undefined"
COM-01051;"Bolozon";"undefined"
COM-01052;"Bouligneux";"undefined"
COM-01053;"Bourg-en-Bresse";"undefined"
COM-01054;"Bourg-Saint-Christophe";"undefined"
COM-01056;"Boyeux-Saint-Jérôme";"undefined"
COM-01057;"Boz";"undefined"
COM-01058;"Brégnier-Cordon";"undefined"
COM-01060;"Brénod";"undefined"
COM-01061;"Brens";"undefined"
COM-01062;"Bressolles";"undefined"
COM-01063;"Brion";"undefined"
COM-01064;"Briord";"undefined"
COM-01065;"Buellas";"undefined"
COM-01066;"La Burbanche";"undefined"
COM-01067;"Ceignes";"undefined"
COM-01068;"Cerdon";"undefined"
COM-01069;"Certines";"undefined"
COM-01071;"Cessy";"undefined"
COM-01072;"Ceyzériat";"undefined"
COM-01073;"Ceyzérieu";"undefined"
COM-01074;"Chalamont";"undefined"
COM-01075;"Chaleins";"undefined"
COM-01076;"Chaley";"undefined"
COM-01077;"Challes-la-Montagne";"undefined"
COM-01078;"Challex";"undefined"
COM-01079;"Champagne-en-Valromey";"undefined"
COM-01080;"Champdor-Corcelles";"undefined"
COM-01081;"Champfromier";"undefined"
COM-01082;"Chanay";"undefined"
COM-01083;"Chaneins";"undefined"
COM-01084;"Chanoz-Châtenay";"undefined"
COM-01085;"La Chapelle-du-Châtelard";"undefined"
COM-01087;"Charix";"undefined"
COM-01088;"Charnoz-sur-Ain";"undefined"
COM-01089;"Château-Gaillard";"undefined"
COM-01090;"Châtenay";"undefined"
COM-02114;"Brasles";"undefined"
COM-01092;"Châtillon-la-Palud";"undefined"
COM-01093;"Châtillon-sur-Chalaronne";"undefined"
COM-02115;"Braye-en-Laonnois";"undefined"
COM-01094;"Chavannes-sur-Reyssouze";"undefined"
COM-02116;"Braye-en-Thiérache";"undefined"
COM-01095;"Nivigne et Suran";"undefined"
COM-02117;"Bray-Saint-Christophe";"undefined"
COM-01096;"Chaveyriat";"undefined"
COM-02118;"Braye";"undefined"
COM-01098;"Chazey-Bons";"undefined"
COM-02119;"Brécy";"undefined"
COM-01099;"Chazey-sur-Ain";"undefined"
COM-02120;"Brenelle";"undefined"
COM-02121;"Breny";"undefined"
COM-01100;"Cheignieu-la-Balme";"undefined"
COM-02122;"Brie";"undefined"
COM-01101;"Chevillard";"undefined"
COM-02123;"Brissay-Choigny";"undefined"
COM-01102;"Chevroux";"undefined"
COM-02124;"Brissy-Hamégicourt";"undefined"
COM-01103;"Chevry";"undefined"
COM-02125;"Brumetz";"undefined"
COM-01104;"Chézery-Forens";"undefined"
COM-02126;"Brunehamel";"undefined"
COM-01105;"Civrieux";"undefined"
COM-02127;"Bruyères-sur-Fère";"undefined"
COM-01106;"Cize";"undefined"
COM-02128;"Bruyères-et-Montbérault";"undefined"
COM-01107;"Cleyzieu";"undefined"
COM-02129;"Bruys";"undefined"
COM-01108;"Coligny";"undefined"
COM-02130;"Bucilly";"undefined"
COM-01109;"Collonges";"undefined"
COM-02131;"Bucy-le-Long";"undefined"
COM-01110;"Colomieu";"undefined"
COM-02132;"Bucy-lès-Cerny";"undefined"
COM-01111;"Conand";"undefined"
COM-02133;"Bucy-lès-Pierrepont";"undefined"
COM-01112;"Condamine";"undefined"
COM-02134;"Buire";"undefined"
COM-01113;"Condeissiat";"undefined"
COM-01114;"Confort";"undefined"
COM-02135;"Buironfosse";"undefined"
COM-01115;"Confrançon";"undefined"
COM-02136;"Burelles";"undefined"
COM-01116;"Contrevoz";"undefined"
COM-02137;"Bussiares";"undefined"
COM-01117;"Conzieu";"undefined"
COM-02138;"Buzancy";"undefined"
COM-01118;"Corbonod";"undefined"
COM-02139;"Caillouël-Crépigny";"undefined"
COM-01121;"Corlier";"undefined"
COM-02140;"Camelin";"undefined"
COM-01123;"Cormoranche-sur-Saône";"undefined"
COM-02141;"La Capelle";"undefined"
COM-01124;"Cormoz";"undefined"
COM-02142;"Castres";"undefined"
COM-01125;"Corveissiat";"undefined"
COM-02143;"Le Catelet";"undefined"
COM-01127;"Courmangoux";"undefined"
COM-02144;"Caulaincourt";"undefined"
COM-01128;"Courtes";"undefined"
COM-02145;"Caumont";"undefined"
COM-01129;"Crans";"undefined"
COM-02146;"Celles-lès-Condé";"undefined"
COM-01130;"Bresse Vallons";"undefined"
COM-02148;"Celles-sur-Aisne";"undefined"
COM-01133;"Cressin-Rochefort";"undefined"
