code;libelle français;libelle anglais
001T003_RP;"Aucun diplôme";"Early childhood education"
100_RP;"CEP (certificat d’études primaires)";"Primary education"
200_RP;"BEPC, brevet élémentaire, brevet des collèges, DNB";"Lower secondary education"
300_RP;"CAP, BEP ou diplôme de niveau équivalent";"Upper secondary education – French CAP, BEP or equivalent"
350T351_RP;"Baccalauréat, brevet professionnel ou équivalent";"Upper secondary education – French Baccalauréat"
500_RP;"Enseignement supérieur de cycle court : BTS, DUT, Deug, Deust, diplôme de la santé ou du social de niveau bac+2, diplôme";"Short-cycle tertiary education - French Deug"
600T702_RP;"Diplôme universitaire 2e ou 3e cycle";"Post-secondary non-tertiary or Short-cycle tertiary education"
001T200_RP;"Aucun diplôme ou BEPC, brevet des collèges, DNB";"Early childhood education or lower secondary education"
500T702_RP;"Diplôme d'études supérieures";"Bachelor’s or equivalent level or above"
001T100_RP;"Aucun diplôme ou certificat d'études primaires";"Early childhood education or primary education"
600_RP;"Baccalauréat universitaire ou équivalent : Licence, licence pro, maîtrise, diplôme équivalent de niveau bac+3 ou bac+4";"Bachelor’s or equivalent level"
700_RP;"Diplôme de niveau bac + 5 ou plus";"Master’s or above, or equivalent level"
_T;"Total";"Total"
