code;libelle français;libelle anglais
1;"Agriculteurs";"Farmers"
2;"Artisans, commerçants et chefs d’entreprise";"Craftsmen, merchants and business owners"
3;"Cadres et professions intellectuelles supérieures";"Executives and higher-level intellectual professions"
4;"Professions intermédiaires";"Technicians and associate professionals"
5;"Employés";"Office employees"
6;"Ouvriers";"Workers"
9;"Autres inactifs";"Other inactive individuals"
7;"Retraités";"Retired persons"
8;"Etudiants ou élèves";"Students"
_T;"Total";"Total"
