code;libelle français;libelle anglais
BE;"Industrie manufacturière, industries extractives et autres";"Industry (except construction)"
FZ;"Construction";"Construction"
MN;"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Professional, scientific and technical activities; administrative and support service activities"
GI;"Commerce de gros et de détail, transports, hébergement et restauration";"Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities"
OQ;"Administration publique, enseignement, santé humaine et action sociale";"Public administration, defence, education, human health and social work activities"
JZ;"Information et communication";"Information and communication"
KZ;"Activités financières et d'assurance";"Financial and insurance activities"
RU;"Autres activités de services";"Other service activities"
LZ;"Activités immobilières";"Real estate activities"
_T;"Total";"Total"
