code;libelle français;libelle anglais
BE;"Industrie manufacturière, industries extractives et autres";"Industry (except construction)"
FZ;"Construction";"Construction"
GI;"Commerce de gros et de détail, transports, hébergement et restauration";"Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities"
JZ;"Information et communication";"Information and communication"
KZ;"Activités financières et d'assurance";"Financial and insurance activities"
LZ;"Activités immobilières";"Real estate activities"
MN;"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien";"Professional, scientific and technical activities; administrative and support service activities"
OQ;"Administration publique, enseignement, santé humaine et action sociale";"Public administration, defence, education, human health and social work activities"
RU;"Autres activités de services";"Other service activities"
_T;"Total";"Total"
