code;libelle français;libelle anglais
AAV2020-001;"Paris";"undefined"
AAV2020-002;"Lyon";"undefined"
AAV2020-003;"Marseille - Aix-en-Provence";"undefined"
AAV2020-013;"Rennes";"undefined"
AAV2020-004;"Lille (partie française)";"undefined"
AAV2020-014;"Grenoble";"undefined"
AAV2020-024;"Caen";"undefined"
AAV2020-005;"Toulouse";"undefined"
AAV2020-025;"Orléans";"undefined"
AAV2020-015;"Rouen";"undefined"
AAV2020-006;"Bordeaux";"undefined"
AAV2020-034;"Le Mans";"undefined"
AAV2020-035;"Amiens";"undefined"
AAV2020-026;"Angers";"undefined"
AAV2020-017;"Nice";"undefined"
AAV2020-008;"Nantes";"undefined"
AAV2020-044;"Pau";"undefined"
AAV2020-036;"Reims";"undefined"
AAV2020-028;"Dijon";"undefined"
AAV2020-018;"Toulon";"undefined"
AAV2020-010;"Strasbourg (partie française)";"undefined"
AAV2020-037;"Nîmes";"undefined"
AAV2020-045;"Besançon";"undefined"
AAV2020-053;"Lorient";"undefined"
AAV2020-029;"Mulhouse";"undefined"
AAV2020-019;"Tours";"undefined"
AAV2020-012;"Montpellier";"undefined"
AAV2020-054;"Troyes";"undefined"
AAV2020-038;"Valenciennes (partie française)";"undefined"
AAV2020-046;"Poitiers";"undefined"
AAV2020-062;"Angoulême";"undefined"
AAV2020-030;"Perpignan";"undefined"
AAV2020-020;"Nancy";"undefined"
AAV2020-063;"Niort";"undefined"
AAV2020-055;"Saint-Nazaire";"undefined"
AAV2020-047;"Bayonne (partie française)";"undefined"
AAV2020-039;"Le Havre";"undefined"
AAV2020-071;"Cherbourg-en-Cotentin";"undefined"
AAV2020-072;"Narbonne";"undefined"
AAV2020-031;"Cannes - Antibes";"undefined"
AAV2020-022;"Clermont-Ferrand";"undefined"
AAV2020-064;"Bourges";"undefined"
AAV2020-056;"Saint-Brieuc";"undefined"
AAV2020-048;"Dunkerque";"undefined"
AAV2020-040;"Avignon";"undefined"
AAV2020-081;"Montauban";"undefined"
AAV2020-032;"Brest";"undefined"
AAV2020-073;"Calais";"undefined"
AAV2020-065;"Chartres";"undefined"
AAV2020-023;"Saint-Étienne";"undefined"
AAV2020-057;"Vannes";"undefined"
AAV2020-049;"Valence";"undefined"
AAV2020-041;"Limoges";"undefined"
AAV2020-082;"Albi";"undefined"
AAV2020-033;"Metz";"undefined"
AAV2020-090;"Charleville-Mézières";"undefined"
AAV2020-074;"Blois";"undefined"
AAV2020-066;"La Roche-sur-Yon";"undefined"
AAV2020-058;"Colmar";"undefined"
AAV2020-091;"Carcassonne";"undefined"
AAV2020-050;"Chambéry";"undefined"
AAV2020-042;"Lens - Liévin";"undefined"
AAV2020-083;"Évreux";"undefined"
AAV2020-100;"Châteauroux";"undefined"
AAV2020-075;"Laval";"undefined"
AAV2020-067;"Cholet";"undefined"
AAV2020-101;"Périgueux";"undefined"
AAV2020-059;"Douai";"undefined"
AAV2020-092;"Fréjus";"undefined"
AAV2020-043;"Annecy";"undefined"
AAV2020-051;"La Rochelle";"undefined"
AAV2020-084;"Mâcon";"undefined"
AAV2020-076;"Beauvais";"undefined"
AAV2020-109;"Montluçon";"undefined"
AAV2020-110;"Vichy";"undefined"
AAV2020-102;"Auxerre";"undefined"
AAV2020-068;"Boulogne-sur-Mer";"undefined"
AAV2020-093;"Agen";"undefined"
AAV2020-060;"Béziers";"undefined"
AAV2020-052;"Quimper";"undefined"
AAV2020-085;"Tarbes";"undefined"
AAV2020-077;"Maubeuge (partie française)";"undefined"
AAV2020-069;"Arras";"undefined"
AAV2020-103;"Rodez";"undefined"
AAV2020-119;"Gap";"undefined"
AAV2020-111;"Dax";"undefined"
AAV2020-094;"Saint-Quentin";"undefined"
AAV2020-104;"Bastia";"undefined"
AAV2020-070;"Chalon-sur-Saône";"undefined"
AAV2020-078;"Compiègne";"undefined"
AAV2020-120;"Saintes";"undefined"
AAV2020-128;"Soissons";"undefined"
AAV2020-061;"Montbéliard";"undefined"
AAV2020-086;"Belfort";"undefined"
AAV2020-112;"Châlons-en-Champagne";"undefined"
AAV2020-095;"Épinal";"undefined"
AAV2020-105;"Castres";"undefined"
AAV2020-079;"Roanne";"undefined"
AAV2020-129;"Bergerac";"undefined"
AAV2020-121;"Sarreguemines (partie française)";"undefined"
AAV2020-137;"Manosque";"undefined"
AAV2020-113;"Lannion";"undefined"
AAV2020-087;"Brive-la-Gaillarde";"undefined"
AAV2020-096;"Saint-Omer";"undefined"
AAV2020-106;"Mont-de-Marsan";"undefined"
AAV2020-080;"Bourg-en-Bresse";"undefined"
AAV2020-138;"Vesoul";"undefined"
AAV2020-130;"Montargis";"undefined"
AAV2020-122;"Moulins";"undefined"
AAV2020-114;"Dieppe";"undefined"
AAV2020-088;"Saint-Malo";"undefined"
AAV2020-107;"Montélimar";"undefined"
AAV2020-097;"Nevers";"undefined"
AAV2020-146;"Saint-Dizier";"undefined"
AAV2020-147;"Roussillon";"undefined"
AAV2020-123;"Aurillac";"undefined"
AAV2020-139;"Les Sables-d'Olonne";"undefined"
AAV2020-131;"Royan";"undefined"
AAV2020-089;"Alès";"undefined"
AAV2020-108;"Cambrai";"undefined"
AAV2020-098;"Ajaccio";"undefined"
AAV2020-115;"Le Puy-en-Velay";"undefined"
AAV2020-124;"Saint-Lô";"undefined"
AAV2020-156;"Auchel - Lillers";"undefined"
AAV2020-148;"Carpentras";"undefined"
AAV2020-140;"Rochefort";"undefined"
AAV2020-132;"Lons-le-Saunier";"undefined"
AAV2020-125;"Béthune";"undefined"
AAV2020-149;"Morlaix";"undefined"
AAV2020-165;"Orange";"undefined"
AAV2020-126;"Draguignan";"undefined"
AAV2020-150;"Arles";"undefined"
AAV2020-157;"Épernay";"undefined"
AAV2020-116;"Alençon";"undefined"
AAV2020-166;"Agde";"undefined"
AAV2020-127;"Haguenau";"undefined"
AAV2020-133;"Saumur";"undefined"
AAV2020-158;"Sélestat";"undefined"
AAV2020-141;"Romans-sur-Isère";"undefined"
AAV2020-167;"Albertville";"undefined"
AAV2020-117;"Châtellerault";"undefined"
AAV2020-151;"Thonon-les-Bains";"undefined"
AAV2020-159;"Libourne";"undefined"
AAV2020-174;"Beaune";"undefined"
AAV2020-134;"Dole";"undefined"
AAV2020-118;"Sens";"undefined"
