code;libelle français;libelle anglais
C107;"École maternelle";"Kindergarten"
C108;"École primaire";"Primary school"
C109;"École élémentaire";"Elementary School"
C201;"Collège";"College"
C301;"Lycée d’enseignement général et/ou technologique";"General and/or technological high school"
C302;"Lycée d’enseignement professionnel";"Vocational high school"
C303;"Lycée d’enseignement technique et/ou professionnel agricole";"High school for technical and/or professional agricultural education"
C304;"Sgt section d’enseignement général et technologique";"Sgt general and technological education section"
C305;"Sep section d’enseignement professionnel";"Sep professional education section"
C401;"Sts section technicien supérieur, cpge classe préparatoire aux grandes écoles";"Sts higher technician section, cpge preparatory class for the grandes écoles"
C409;"Autre formation post bac non universitaire";"Other non-university post-baccalaureate training"
C410;"École de formation aux professions sanitaires et sociales";"Training School for Health and Social Professions"
C502;"Institut universitaire";"University Institute"
C403;"Formation commerce";"Business training"
C503;"École d’ingénieurs";"Engineering school"
C501;"Ufr";"Ufr"
C509;"Autre enseignement supérieur";"Other higher education"
C602;"Greta";"Greta"
C604;"Formation aux métiers du sport";"Training for sports professions"
C610;"Organisme de formation en apprentissage";"Apprenticeship Training Organization"
C504;"Enseignement général supérieur privé";"Private higher general education"
C603;"Centre dispensant de la formation continue agricole";"Center providing continuing agricultural training"
C701;"Résidence universitaire";"Student housing"
C505;"École d’enseignement supérieur agricole";"School of higher agricultural education"
C702;"Restaurant universitaire";"University restaurant"
